location_id,city,temperature,humidity,pressure,weather,temperature_max,temperature_min,apparent_temperature,wind_speed,rain,snow,precipitation,cloud_cover,time
0,Paris,20.43,52,1016,Rain,21.28,19.09,19.89,14.832,0.65,0,0.65,0,2025-07-06 01:00:00
1,London,19.27,79,1010,Clouds,20.0,17.95,19.32,16.668,0.0,0,0.0,75,2025-07-06 01:00:00
2,Rome,30.08,39,1017,Clear,30.08,29.27,29.67,5.5440000000000005,0.0,0,0.0,0,2025-07-06 01:00:00
3,Oslo,15.43,96,999,Clouds,15.43,15.43,15.54,3.8520000000000003,0.0,0,0.0,97,2025-07-06 01:00:00
4,Moscow,14.0,46,1015,Clouds,14.08,12.29,12.66,6.588,0.0,0,0.0,42,2025-07-06 01:00:00
5,New York,28.44,52,1018,Clear,30.55,26.65,29.17,24.084000000000003,0.0,0,0.0,0,2025-07-06 01:00:00
6,Montreal,24.8,54,1015,Clouds,25.56,24.48,24.75,14.832,0.0,0,0.0,75,2025-07-06 01:00:00
7,Mexico,25.84,91,1009,Clouds,25.84,25.84,26.86,7.38,0.0,0,0.0,91,2025-07-06 01:00:00
8,São Paulo,14.95,87,1024,Clouds,15.61,14.14,14.77,14.832,0.0,0,0.0,20,2025-07-06 01:00:00
9,Lima,18.28,83,1016,Clouds,18.28,17.14,18.33,16.668,0.0,0,0.0,100,2025-07-06 01:00:00
10,Johannesburg,6.0,59,1021,Clear,6.65,4.86,4.95,5.796,0.0,0,0.0,0,2025-07-06 01:00:00
11,Cairo,26.42,69,1011,Clear,26.42,25.79,26.42,18.503999999999998,0.0,0,0.0,0,2025-07-06 01:00:00
12,Antananarivo,7.98,93,1024,Clouds,7.98,7.98,7.98,3.708,0.0,0,0.0,20,2025-07-06 01:00:00
13,Tokyo,29.34,76,1004,Clouds,30.36,27.59,34.77,11.124,0.0,0,0.0,75,2025-07-06 01:00:00
14,Shanghai,28.92,79,1005,Clear,28.92,28.92,34.31,10.8,0.0,0,0.0,0,2025-07-06 01:00:00
15,Dubai,31.96,70,995,Clouds,32.14,31.96,38.96,9.251999999999999,0.0,0,0.0,40,2025-07-06 01:00:00
16,Sydney,12.62,85,1019,Clear,13.52,10.72,12.16,12.96,0.0,0,0.0,0,2025-07-06 01:00:00
